Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Education,3.6,10000,957,9,86481,1356,452,183,2,4,5,5,796,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,3,0,0,0,0,92
2,Education,3.5,10000,1851,15,180135,2564,1064,382,0,3,2,11,29251,0,0,1,1,0,0,0,0,0,0,3,3,0,1,0,5,0,0,0,2,50
2,Personalization,4.4,1000,17,6,1221,4,0,0,0,0,0,2,30951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Photography,4.1,10000000,1174,6,126144,1441,309,116,3,3,6,0,137215,1,0,1,1,0,0,0,0,0,0,1,3,0,1,0,4,0,0,0,0,51.11111111
2,Entertainment,3.9,10000,1164,9,173377,2344,1420,313,0,2,2,14,16908,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
2,Tools,3.2,50000,130,6,10309,0,0,0,0,1,2,0,125979,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Finance,4,5000,4626,12,701866,9285,4795,1158,4,1,5,2,1084,1,1,1,1,0,0,0,0,0,0,5,4,0,1,0,8,1,0,1,2,85.45454545
2,Tools,4.3,50000,26,3,2024,31,8,3,0,0,6,10,4587,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Tools,4,100000,18,3,1039,21,8,4,2,0,0,0,68479,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,Entertainment,4.2,500000,42,6,4463,0,0,0,0,0,0,0,122791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,News & Magazines,3,1000,2177,15,274246,4640,3166,603,1,6,2,3,31453,0,0,1,1,0,0,0,0,0,0,2,3,0,1,0,5,0,0,0,0,51.11111111
2,Casino,4.5,10000000,6375,15,524133,0,0,0,0,4,5,0,97314,0,1,1,1,0,0,0,0,0,0,2,3,0,1,0,3,0,0,1,0,92
2,Casino,4.1,5000000,1673,12,183219,0,0,0,2,2,3,0,91962,0,1,1,1,0,0,0,0,0,0,3,4,0,1,0,4,0,0,1,1,100
2,Casual,4.2,10000,93,6,9909,109,12,3,0,1,2,5,5612,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Productivity,4.6,1000,165,18195,15572,409,68,30,0,1,2,0,67569,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Music & Audio,4.3,5000,4752,12,571016,9208,5588,1228,1,3,2,14,11421,1,1,1,1,0,0,0,0,0,0,4,3,0,1,0,5,0,0,1,2,100
2,Education,4,500000,105,6,11783,0,0,0,0,2,4,0,91619,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2,Travel & Local,4.3,10000,428,12,29322,0,0,0,3,1,6,0,127893,0,0,0,1,0,0,0,0,0,0,5,3,0,1,0,8,0,0,1,2,50
2,Health & Fitness,4.1,1000,401,6,37958,556,241,102,0,2,4,8,30918,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,1,51.11111111
2,Finance,3.8,5000,63,6,5390,116,14,7,0,0,2,0,68959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Music & Audio,3.8,1000,12,3,1487,1,0,0,3,0,2,3,7199,0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,92
2,Health & Fitness,4.6,10000000,7123,19,674908,9815,4418,1312,2,4,5,0,137437,1,1,1,1,0,0,0,0,0,0,3,6,0,1,0,5,0,0,1,1,100
2,Education,4.4,5000,816,9,98631,0,0,0,0,2,2,0,118974,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,51.11111111
2,Communication,4.4,100000000,3412,9,284705,0,0,0,19,1,5,0,72200,1,1,1,1,0,0,0,0,0,0,14,17,2,1,4,27,0,0,1,2,100
