RowID,FuzzyRisk,JavaFiles,Jlint,DefectCount,LOC,Jlint/LOC,Defect/LOC,Opriv,Upriv,PrivCount,OprivRatio,UPrivRatio
7186,51,887,271,6,78304,0.34609,0.00766,0,3,6,0,2
4609,51,89,40,3466,6552,0.6105,52.89988,0,0,5,0,0
122724,51,368,84,6,31639,0.2655,0.01896,0,1,2,0,2
150613,51,215,97,6,26381,0.36769,0.02274,1,2,2,2,1
55004,100,265,119,3,45067,0.26405,0.00666,3,2,7,2,3
19889,100,1454,355,9,197773,0.1795,0.00455,3,1,12,4,12
65948,50,1692,654,12,171609,0.3811,0.00699,2,1,15,7,15
153300,51,54,25,6,5548,0.45061,0.10815,3,1,8,2,8
154437,92,2591,428,9,320019,0.13374,0.00281,0,10,3,0,0
27819,51,1144,122,9,79831,0.15282,0.01127,0,4,2,0,0
163524,100,1211,348,15,139166,0.25006,0.01078,2,6,11,5,1
154669,51,73,21,6,5443,0.38582,0.11023,0,0,5,0,0
91987,50,1768,645,6,184423,0.34974,0.00325,0,3,9,0,3
135090,51,2588,761,9,274688,0.27704,0.00328,3,2,21,7,10
56037,50,566,138,9,50299,0.27436,0.01789,0,1,11,0,11
18454,92,1205,234,9,114585,0.20422,0.00785,0,9,5,0,0
20800,51,499,167,6,47406,0.35228,0.01266,0,6,6,0,1
67017,50,1447,262,6,166978,0.15691,0.00359,1,2,6,6,3
30610,51,1890,572,6,220109,0.25987,0.00273,0,4,5,0,1
111584,92,3569,1150,21,311841,0.36878,0.00673,1,3,7,7,2
79966,92,1194,321,6,114900,0.27937,0.00522,0,1,5,0,5
65968,50,2726,771,18,277687,0.27765,0.00648,3,4,16,5,4
128558,51,868,237,15,96885,0.24462,0.01548,0,6,4,0,0
119615,51,311,49,6,27461,0.17843,0.02185,2,2,5,2,2
146701,92,607,150,6,80332,0.18673,0.00747,0,2,2,0,1
71586,51,254,82,6,27161,0.3019,0.02209,3,2,11,3,5
144075,51,1011,347,18,105262,0.32965,0.0171,1,2,9,9,4
61030,91,4477,1237,84,571198,0.21656,0.01471,5,2,22,4,11
146735,51,183,67,9,15432,0.43416,0.05832,1,2,6,6,3
12886,51,83,21,5114,7547,0.27826,67.76202,0,0,3,0,0
147946,50,2361,782,12,257784,0.30335,0.00466,0,13,11,0,0
150304,51,1501,399,18,158159,0.25228,0.01138,2,0,22,11,0
144316,52,768,259,6,64651,0.40061,0.00928,5,5,18,3,3
142121,51,3081,910,15,328475,0.27704,0.00457,1,6,7,7,1
137269,85,5526,1565,15,678137,0.23078,0.00221,6,3,25,4,8
144054,92,559,141,6,73110,0.19286,0.00821,0,1,4,0,4
151940,92,3279,1068,9,426992,0.25012,0.00211,0,6,5,0,0
20079,51,951,331,15,106769,0.31002,0.01405,0,1,7,0,7
147068,92,279,114,9,32169,0.35438,0.02798,0,2,4,0,2
160749,100,1872,606,6832,219505,0.27608,3.11246,1,0,16,16,0
147105,92,750,197,6,76926,0.25609,0.0078,2,5,14,7,2
8890,92,4492,1065,12,357779,0.29767,0.00335,1,2,11,11,5
51937,83,1706,491,196731,160465,0.30599,122.60057,9,3,28,3,9
30147,51,213,80,9,25569,0.31288,0.0352,0,3,4,0,1
4755,51,348,83,3,25825,0.32139,0.01162,0,0,5,0,0
120797,92,3211,869,41335,343714,0.25283,12.02599,2,7,7,3,1
145076,51,185,74,3679,16311,0.45368,22.55533,1,0,5,5,0
