rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
309,Puzzle,4,10000,51,1426,18,140060,0,3,5,399
3072,Puzzle,3.8,50000,92,1405,6,145303,0,3,18,287
222162,Puzzle,2.5,1000,0,635,6,148546,0,5,0,191
1220,Puzzle,4.3,10000,51,1306,6,153492,1,7,2,369
208054,Puzzle,2.6,5000,92,1319,12,154873,0,7,0,436
1730,Puzzle,3.3,1000,92,1342,12,157120,1,7,5,457
198,Puzzle,4.4,10000,50,1938,12,162793,1,1,14,602
150273,Puzzle,2,1000,81,1688,12,170858,6,2,0,728
227752,Puzzle,2.1,1000,92,1580,6,184826,0,2,0,475
2224,Puzzle,4.4,50000,51,1239,9,186499,0,3,5,395
238,Puzzle,4.1,50000,100,1849,12,196546,4,1,6,516
198064,Puzzle,2.3,1000,92,1847,19,208265,1,3,0,493
521,Puzzle,4.2,50000,92,2020,9,208925,0,6,9,640
4390,Puzzle,3.6,10000,92,1576,6,224880,0,3,1,311
3063,Puzzle,4,10000,92,1925,6,235666,0,5,7,582
26304,Puzzle,2.5,10000,100,2377,9,237923,1,2,6,738
120910,Puzzle,2.8,1000,92,2269,9,270462,0,1,0,432
106818,Puzzle,2.7,1000,92,2333,6,289271,0,1,0,348
163909,Puzzle,2.9,100000,51,1354,15,295798,0,9,0,1260
3050,Puzzle,4.2,10000,92,3124,15,324786,2,6,4,650
691,Puzzle,3.8,100000,92,3214,12,338034,1,3,4,965
213600,Puzzle,2.8,500000,92,3453,6,371638,0,3,0,549
91376,Puzzle,2.9,1000,92,3839,15,420547,0,9,0,1079
446,Puzzle,4.1,5000,92,3034,6,431960,1,2,3,719
49,Puzzle,4.2,10000000,92,3934,9398,438287,1,6,8,1281
47,Puzzle,4.5,10000000,92,3998,12,444207,0,9,12,907
374,Puzzle,4,100000,92,3883,9,445183,0,4,8,909
4194,Puzzle,3.7,1000,100,4561,30,570511,0,5,5,1265
1563,Puzzle,3.8,1000,100,4563,30,570548,0,4,5,1265
1664,Puzzle,4.4,1000,100,4563,30,570548,0,4,2,1265
4130,Puzzle,3.7,10000,100,4563,30,570577,0,4,2,1265
4193,Puzzle,4.1,1000,100,4563,30,570577,0,4,6,1265
