Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,Jlint
2,Books & Reference,4,100000,92,2233,12,283057,5010,3224,668,,6,2,,468
2,Action,3.5,10000,51,1491,15,116963,84,48,15,2,5,,,259
2,Education,3.6,10000,50,12,3,1487,,,,,,2,,0
2,Social,4.2,1000000,95,3299,12,444365,6902,4860,882,3,4,2,2,825
2,Education,4.2,10000,51,39,3,3158,,,,,,2,,8
2,Puzzle,3.8,100000,92,1335,12,157660,1897,607,209,,6,2,4,454
2,Communication,4.1,100000,50,1856,18,151131,2202,734,234,3,2,2,,702
2,Music & Audio,4.2,10000,50,744,9,76382,1129,449,189,3,2,3,,205
2,Casual,3.8,1000,92,2664,6,304203,5614,4266,651,,2,2,18,399
2,Music & Audio,3.9,100000,92,1302,12,158917,2019,907,347,,3,2,,348
2,Entertainment,4.1,1000000,92,3546,54,395421,,,,,4,2,,580
2,Medical,4.3,10000,51,588,9,58014,,,,1,5,2,,175
2,Communication,4.1,10000,0,345,6,31848,460,217,91,3,1,2,4,69
2,Tools,4.2,1000000,92,388,3,54749,433,113,48,,1,4,2,139
2,Communication,4,10000,52,1568,9,174494,54,0,0,7,1,7,2,515
2,Puzzle,3.8,1000,51,118,3,6995,120,16,7,1,1,3,6,26
2,Entertainment,3.6,50000,92,2107,12,277901,4547,2941,604,,3,5,6,428
2,Casual,4,50000,51,1004,12,95600,1448,527,192,,7,3,16,320
2,Casual,4.5,1000,51,1487,15,138722,2552,1161,417,1,1,,,463
2,Action,3.7,500000,100,2100,6,263421,,,,1,5,2,,473
2,Board,4.2,10000,51,573,9,53559,,,,1,1,2,,118
2,Personalization,4.4,5000,0,8,6,158,147,34,13,,,,,0
2,Word,4.4,5000,51,21,6,639,11,4,2,,,2,2,1
2,Social,4.5,100000,51,2588,15,267473,3951,1730,628,4,3,,,834
2,Education,4.8,1000,51,1170,9,84728,,,,,1,2,,268
2,Entertainment,4.7,10000,51,643,12,76101,1476,802,168,1,2,2,,240
2,Tools,4,10000,92,560,15,71480,,,,,1,2,,137
2,Puzzle,3.3,50000,92,12,3,1487,1,0,0,2,,2,10,0
2,Puzzle,4,5000,51,45,6,3292,,,,1,1,2,,19
2,Puzzle,3.8,50000,92,2411,9,283322,,,,,3,2,,432
2,Education,4.2,10000,50,343,3,39604,537,123,57,,3,2,5,106
2,Education,4.1,10000,92,3727,15,407400,6673,3746,927,,8,2,2,1063
2,Racing,3.9,500000,92,420,9,63451,590,158,70,,6,,,140
2,Productivity,4.1,10000000,50,3787,21,389324,6092,3010,843,5,5,7,,1083
2,Education,3.8,5000,51,1287,15,236563,,,,1,10,2,,1085
2,Racing,4,1000000,92,3259,12,309038,5691,2664,793,,2,2,,743
2,Arcade,4.5,5000000,100,5880,25,676937,11979,8084,1242,8,1,2,3,2871
2,Lifestyle,4.5,10000,0,93,3,10732,138,27,12,,8,3,2,42
2,Education,4.7,10000,92,3295,12,441637,7060,4688,879,,4,2,7,799
2,Action,3.6,5000,100,3335,12,401046,6431,4162,884,2,2,2,2,784
2,Health & Fitness,4.3,1000000,51,356,9,30385,546,187,34,,3,2,,124
2,Photography,4.3,10000000,92,1684,9,198637,2420,1022,377,,5,2,14,454
2,Personalization,4.1,10000,92,2307,6,257877,,,,,1,5,,399
2,Tools,4.4,500000,51,389,6,34819,565,264,112,1,3,4,2,73
2,Health & Fitness,3,1000,50,40,3,4901,56,20,9,,,2,5,14
2,Tools,4.5,100000,51,744,6,85474,1338,546,197,,2,2,1,297
2,Social,3,10000,50,126,3,11372,230,93,40,,,2,6,22
2,Communication,4.1,10000,0,26,3,2047,35,2,1,1,,2,2,2
2,Communication,4,1000000,100,2816,9,324433,5569,3828,721,1,3,3,4,555
2,Board,4,10000,51,502,9,44138,,,,1,3,2,,101
2,Action,4.5,10000000,50,4171,12,432755,7679,4215,1073,1,1,2,2,1256
2,Entertainment,3.1,5000,51,157,12,16302,221,60,26,,,2,8,63
2,Entertainment,3.5,100000,51,69,5098,7604,73,16,8,,,,,31
2,Education,3.2,5000,0,37,6,3081,49,6,3,,2,2,4,2
