Files	LevenDistance	Not a Clone	Clone
kraw_try1.sumprod3e()-kraw_try1.type1b_krawitz()	37	1	
kraw_try1.sumprod3e()-kraw_try1.type3a_krawitz()	38	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod2a()	11		1
kraw_try1.sumprod3e()-kraw_try1.type2b_krawitz()	37	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod4a()	10		1
kraw_try1.sumprod3e()-kraw_try1.type3b_krawitz()	50	1	
kraw_try1.sumprod3e()-kraw_try1.type1a_krawitz()	37	1	
kraw_try1.sumprod3e()-kraw_try1.type4b2_krawitz()	57	1	
kraw_try1.sumprod3e()-kraw_try1.sumprod4b()	10		1
kraw_try1.sumprod3e()-kraw_try1.sumprod2c()	19		1
kraw_try1.type4a_krawitz()-kraw_try1.sumprod1b()	57	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod4c()	57	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod3d()	58	1	
kraw_try1.type4a_krawitz()-kraw_try1.mult()	83	1	
kraw_try1.type4a_krawitz()-kraw_try1.main()	83	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod4d()	58	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod2d()	56	1	
kraw_try1.type4a_krawitz()-kraw_try1.type1b_krawitz()	50		1
kraw_try1.type4a_krawitz()-kraw_try1.type3a_krawitz()	47		1
kraw_try1.type4a_krawitz()-kraw_try1.sumprod2a()	57	1	
kraw_try1.type4a_krawitz()-kraw_try1.type2b_krawitz()	50		1
kraw_try1.type4a_krawitz()-kraw_try1.sumprod4a()	57	1	
kraw_try1.type4a_krawitz()-kraw_try1.type3b_krawitz()	60		1
kraw_try1.type4a_krawitz()-kraw_try1.type1a_krawitz()	50		1
kraw_try1.type4a_krawitz()-kraw_try1.type4b2_krawitz()	59		1
kraw_try1.type4a_krawitz()-kraw_try1.sumprod4b()	57	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod2c()	58	1	
kraw_try1.type4a_krawitz()-kraw_try1.sumprod3e()	55	1	
kraw_try1.sumprod1c()-kraw_try1.sumprod1b()	0		1
kraw_try1.sumprod1c()-kraw_try1.sumprod4c()	10		1
kraw_try1.sumprod1c()-kraw_try1.sumprod3d()	6		1
kraw_try1.sumprod1c()-kraw_try1.mult()	69	1	
