"android.permission.READ_GSERVICES","0.02","2"
"android.permission.Read_Phone_State","0.02","2"
"android.permission.SEND_MESSAGE","0.02","2"
"android.permission.SHAKE","0.02","2"
"android.permission.UPDATE_DEVICE_STATE","0.02","2"
"android.permission.WI","0.02","2"
"android.permission.WIFI_SERVICE","0.02","2"
"android.permission.WRITE_EXTERNAL_STORAG","0.02","2"
"android.permission.WRITE_GSERVICES","0.02","2"
"android.permission.WRITE_SECURES","0.02","2"
"android.permission.WRITE_SYNC_STATS","0.02","2"
"android.permission.any","0.02","2"
"Android.permission.CHANGE_CONFIGURATION","0.01","1"
"android.permission..READ_PHONE_STATE","0.01","1"
"android.permission.ACCESSASSISTEDGPS","0.01","1"
"android.permission.ACCESSCELLID","0.01","1"
"android.permission.ACCESSGPS","0.01","1"
"android.permission.ACCESSLOCATION","0.01","1"
"android.permission.ACCESS_AGPS_LOCATION","0.01","1"
"android.permission.ACCESS_BLUETOOTH_SHARE","0.01","1"
"android.permission.ACCESS_COARSE_LOCATIO","0.01","1"
"android.permission.ACCESS_CORASE_LOCATION","0.01","1"
"android.permission.ACCESS_DEVICE_STATS","0.01","1"
"android.permission.ACCESS_DRM","0.01","1"
"android.permission.ACCESS_FINE","0.01","1"
"android.permission.ACCESS_FINE.LOCATION","0.01","1"
"android.permission.ACCESS_FINE_UPDATES","0.01","1"
"android.permission.ACCESS_MEDIUM_LOCATION","0.01","1"
"android.permission.ACCESS_MOSE_LOCATION","0.01","1"
"android.permission.ACCESS_NETWORK_PERMISSION","0.01","1"
"android.permission.ACCESS_Net","0.01","1"
"android.permission.ACCESS__LOCATION","0.01","1"
"android.permission.ACCES_NETWORK_STATE","0.01","1"
"android.permission.ACCESdS_FINE_LOCATION","0.01","1"
"android.permission.ACESS_COARSE_LOCATION","0.01","1"
"android.permission.ACESS_MOCK_LOCATION","0.01","1"
"android.permission.ACTION_VIDEO_CAPTURE","0.01","1"
"android.permission.ADD_ACCOUNTS","0.01","1"
"android.permission.ANSWER_PHONE","0.01","1"
"android.permission.APPWIDGET_LIST","0.01","1"
"android.permission.AUDIO_SERVICE","0.01","1"
"android.permission.Acc","0.01","1"
"android.permission.CAMERA_EXTENDED","0.01","1"
"android.permission.COARSE_LOCATION","0.01","1"
"android.permission.DATE_CHANGED","0.01","1"
"android.permission.DISABLE_STATUS_BAR","0.01","1"
"android.permission.FILE_WRITE","0.01","1"
"android.permission.FLAG_GRANT_READ_URI_PERMISSION","0.01","1"
"android.permission.FLAG_GRANT_WRITE_URI_PERMISSION","0.01","1"
"android.permission.FLASH_LIGHT","0.01","1"
"android.permission.GET_ACCOUNT","0.01","1"
"android.permission.GET_PERMISSIONS","0.01","1"
"android.permission.GPS","0.01","1"
"android.permission.INTERACT_ACROOS_USERS_FULL","0.01","1"
"android.permission.INTERNET.ACCESS_NETWORK_STATE","0.01","1"
"android.permission.KILL_BACKGROUND_PROCESS","0.01","1"
"android.permission.KOR_GO_FIRE_REPORT","0.01","1"
"android.permission.LIGHTS","0.01","1"
"android.permission.MANAGE_NETWORK_POLICY","0.01","1"
"android.permission.MEDIA_CONTENT_CONTROL","0.01","1"
"android.permission.MODIFY_NETWORK_STATE","0.01","1"
"android.permission.MOVE_PACKAGE","0.01","1"
"android.permission.Menu_Name","0.01","1"
"android.permission.NETWORK_WIFI_STATE","0.01","1"
"android.permission.NFC_TRANSACTION","0.01","1"
"android.permission.PACKAGE_USAGE_STATS","0.01","1"
"android.permission.PERFORM_CDMA_PROVISIONING","0.01","1"
"android.permission.PHONE_CALLS","0.01","1"
"android.permission.PRIVILEGED","0.01","1"
"android.permission.PROCESS_CALL","0.01","1"
"android.permission.READ_ALAMRS","0.01","1"
"android.permission.READ_ATTACHMENT","0.01","1"
"android.permission.READ_CALL_STATE","0.01","1"
"android.permission.READ_CLOCK","0.01","1"
"android.permission.READ_CONTACT","0.01","1"
"android.permission.READ_EXTRERNAL_STORAGE","0.01","1"
"android.permission.READ_WIFI_STATE","0.01","1"
"android.permission.RECEIVE_PACKAGE_RESTARTED","0.01","1"
"android.permission.REMOVE_TASKS","0.01","1"
"android.permission.RESET_PASSWORD_REQUIRE_ENTRY","0.01","1"
"android.permission.SCREEN_ON","0.01","1"
"android.permission.SECURITY","0.01","1"
"android.permission.SECURITY_ACTIVITY","0.01","1"
"android.permission.SEND_MMS","0.01","1"
"android.permission.SENSOR_SERVICE","0.01","1"
"android.permission.SET_PROCESS_FOREGROUND","0.01","1"
"android.permission.SET_WALLPAPER_COMPONENT","0.01","1"
"android.permission.SET_WALLPAPER_HINT","0.01","1"
"android.permission.SIGNAL_PERSISTENT_PROCESSES","0.01","1"
"android.permission.UPDATE_APP_OPS_STAT","0.01","1"
"android.permission.UPDATE_APP_OPS_STATS","0.01","1"
"android.permission.USES_ENCRYPTED_STORAGE","0.01","1"
"android.permission.USES_POLICY_EXPIRE_PASSWORD","0.01","1"
"android.permission.USES_POLICY_LIMIT_PASSWORD","0.01","1"
"android.permission.USES_POLICY_RESET_PASSWORD","0.01","1"
"android.permission.USES_POLICY_WATCH_LOGIN","0.01","1"
"android.permission.USES_POLICY_WIPE_DATA","0.01","1"
"android.permission.USE_ACCOUNTS","0.01","1"
"android.permission.WAVE_LOCK","0.01","1"
"android.permission.WIPE_DATA","0.01","1"
"android.permission.WRIGHT_EXTERNAL_STORAGE","0.01","1"
"android.permission.WRITE_CLIPS","0.01","1"
"android.permission.WRITE_EXTRERNAL_STORAGE","0.01","1"
"android.permission.WRITE_MMS","0.01","1"
"android.permission.Write","0.01","1"
"android.permission.ac","0.01","1"
"android.permission.sec.MDM_APP_PERMISSION_MGMT","0.01","1"
"android.permission.sec.MDM_EMAIL","0.01","1"
"android.permission.sec.MDM_EXCHANGE","0.01","1"
"android.permission.sec.MDM_FIREWALL","0.01","1"
"android.permission.sec.MDM_HW_CONTROL","0.01","1"
"android.permission.sec.MDM_KIOSK_MODE","0.01","1"
"android.permission.sec.MDM_REMOTE_CONTROL","0.01","1"
"android.permission.sec.MDM_SECURITY","0.01","1"
"android.permission.serviceIBinder","0.01","1"
"android.permissions.CAMERA","0.01","1"
"android:permission:ACCESS_FINE_LOCATION","0.01","1"
