APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
693c1a92-0963-4fdb-91f7-9a62af4f4165,2,Entertainment,3.8,500000,1009,6,127138,1402,600,233,,2,2,,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,2,0,0,0,0,92
95998061-68b9-40aa-b612-05f6aa3272e3,2,Comics,4.6,10000,620,6,53515,,,,,1,2,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
b1dd3d09-4b06-44b9-b76b-c1898dd62f70,2,Communication,4.2,1000,33,6,3323,36,10,4,2,,4,,0,0,0,1,0,0,0,0,0,0,2,0,1,0,0,4,1,1,0,0,50
9198cc5f-240c-4b90-9f05-f29905adb5de,2,Tools,4.2,100000,100,5095,11673,,,,1,,4,,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,1,51.11111111
7bc650e8-d83d-4a46-b63b-5b11090bd7c1,2,Personalization,4.4,1000,17,3,843,4,0,0,1,,2,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
8b5e950a-4dfb-4587-a524-22130cb70b88,2,Personalization,4.2,10000000,242,6,22950,,,,,4,3,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
c882ca6e-ecc9-4168-add2-a46048a85d25,2,Puzzle,3.5,10000,59,6,8978,40,6,3,,1,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0
51f51b8c-9884-459f-9f0e-b72350c637fa,2,Tools,4.1,10000,256,6,33292,224,25,10,1,1,4,,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,92
0c4caff1-a71b-4154-9645-f6bdf1224456,2,Books & Reference,4.6,10000,382,9,34173,547,255,104,,3,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
140cf463-42b6-4a5b-b2ed-d6c8fd28b563,2,Travel & Local,4.5,500000,1071,9,113755,,,,,3,2,,0,0,0,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,1,51.11111111
48b33087-c956-4ad7-a36a-efa51543724d,2,Photography,3.4,100000,418,3387,41778,,,,,1,2,,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
391a37d4-da59-487f-be16-9e98ce481ffe,2,Puzzle,4.4,1000,541,12,72084,,,,,1,2,,0,1,1,1,0,0,0,0,0,0,0,3,0,1,0,1,0,0,0,0,92
abceb0d5-d989-4019-bfc4-7a4839ebac0d,2,Adventure,4.4,10000000,2715,15,232978,3925,1172,461,,3,5,14,1,0,1,1,0,0,0,0,0,0,2,5,0,1,0,4,0,0,1,0,51.11111111
eb0ecdfb-49f0-4749-aa68-646193282ab1,2,Tools,4.1,50000,30,3,2558,41,2,1,,1,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
9cb98ed9-f112-46b5-8af8-2863cafbf14f,2,Personalization,4,100000,15,3,651,9,4,2,,,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360eb2da-8f5f-4f18-9caf-d7147c79b0c6,2,Travel & Local,5,1000,1191,15,133383,2561,928,348,1,6,2,2,1,0,0,1,0,0,0,0,0,0,2,2,0,1,0,5,0,0,0,2,50
33d37a2f-c8e0-4ecd-a670-12a73f8986c4,2,Lifestyle,4,10000,42,3,2629,34,6,3,,,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,51.11111111
09269f6f-7b44-4d76-ae91-09af1bc70920,2,Entertainment,3.4,1000,70,6,8285,110,27,13,1,1,2,6,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,4,0,0,0,2,50
8ebec174-8588-4d5b-b5f3-acbd1acfcefb,2,Music & Audio,4.3,1000,1179,41338,111173,1598,592,232,,6,2,3,1,0,1,1,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
507306bf-966d-472b-8c4d-f92fc00f6ada,2,Education,4.3,5000,1005,6,79253,,,,,3,3,,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
