APKID,Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
d388ba37-94cf-4fb4-950b-b08d80274b01,1,Travel & Local,1.7,1000,170,6,25161,,,,,1,2,,121350,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
48a8423e-fb01-4701-bed4-5e1a1d86952c,1,Business,2.8,1000,257,9,35370,,,,,5,2,,103880,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
925f234f-f9c4-40be-8d6b-d8cdc0c44ba4,1,Media & Video,2.5,10000,129,5111,11406,128,33,14,1,,2,5,11163,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
fb8988cb-df93-4c1f-a4ef-5345cba06f78,1,Travel & Local,2.7,1000,35,3,2716,55,4,1,1,,2,,70689,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,3,0,0,0,1,51.11111111
19aff0c9-6166-4092-88ee-e79a01ff8c1f,1,Transportation,2.6,5000,41,3,3130,59,27,8,,,2,2,17017,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,1,51.11111111
6ec91ef9-c063-4883-b98f-977198259612,1,Finance,2,1000,50,6,2997,,,,,,2,,72141,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
07159b89-97d4-42da-aaf5-10187189a7c4,1,Travel & Local,2.9,5000,1391,103,159574,1848,685,285,3,6,5,1,2568,0,0,0,1,0,0,0,0,0,0,4,3,0,1,0,6,0,0,0,2,50
8e15b10f-165d-4f4e-a149-26a1d08a0c8f,1,Education,1,1000,723,9,79448,,,,1,4,3,,122815,0,0,1,1,0,0,0,0,0,0,4,4,0,1,0,4,0,0,1,2,50
f90562c8-fefd-4d2d-926b-5a2a5e54fc28,1,Shopping,2.6,5000,81,3,6833,142,46,18,,,3,3,17162,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
7016fd76-db44-4206-9208-258954116839,1,Tools,2.7,1000,1074,6,91760,,,,,1,2,,118861,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,92
06fcf368-300e-4d63-a642-2b31fbf08f6f,1,Lifestyle,2.6,10000,184,6,16068,187,39,16,,1,2,8,2235,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,3,0,0,0,0,51.11111111
3b7437d9-1efe-41fc-8402-4c79c8064733,1,Education,2.7,10000,710,9,89056,,,,,3,2,,118730,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
0c9d2b89-50ed-40d1-8b9e-c8afd6063364,1,Books & Reference,2.8,1000,763,9,78350,1413,704,176,3,2,2,3,20041,0,0,1,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,1,0,51.11111111
880dd5cd-178b-4bb9-866e-7c165fafd65b,1,Social,2.8,1000,29,3,3224,63,12,6,,,4,5,30978,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
2e77bd5e-5d28-49ea-9e64-085decd8efa1,1,Business,2.3,1000,12,3,594,,,,,1,2,,80024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
d8dca956-2971-42f7-8d8b-75256a2938d1,1,Tools,2.6,10000,158,6,13612,148,30,13,,1,2,8,2036,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
13e92fd8-a6ca-4ce0-9624-883c774df817,1,Entertainment,2.3,10000,459,6,45390,545,247,103,,4,2,2,1253,0,0,1,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,51.11111111
41aa630b-fd5d-4338-8ae4-4db53b0808f6,1,Tools,2.4,5000,52,115,7386,96,16,5,,,2,6,17176,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
41a2927c-393c-4585-bc80-23f81c694ac4,1,Productivity,2.1,5000,15,3,973,23,4,2,1,1,2,8,10836,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0
3f84e717-f4c4-48df-9d79-ebeae0170325,1,Puzzle,2.9,10000,119,6,13096,187,54,24,,,2,,66453,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
9552b11d-f707-4346-83c6-a0aa5b5f3999,1,Photography,2.6,1000,138,6,9259,141,17,7,1,2,2,,134809,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,2,0,0,0,0,51.11111111
78932e60-5d83-4348-9707-65fbf68b9dfd,1,Books & Reference,2.6,10000,49,3,2530,46,8,4,,,3,3,3901,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
f0b87384-ea2e-4a75-9ff8-58044bc6de02,1,Puzzle,2.9,5000,9,3,330,6,0,0,,,2,7,17183,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30757333-0e51-4869-b170-242e85525ba4,1,News & Magazines,2.1,50000,71,3,9332,110,25,12,,9,2,3,6249,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
e786ed27-2b9d-4dcb-904f-f3b30e2ba0e1,1,Communication,2.2,1000,473,6,49138,851,478,130,,,3,,134336,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
