,rowID,Genre,UserRatings,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount,jlint
5-Mar,103,Personalization,3.9,100000,91,675,6,86237,8,1,4,227
5-Mar,104,Finance,4.1,100000,50,602,6,46657,1,3,6,72
5-Mar,105,Personalization,3.9,100000,92,2229,9,262445,2,2,7,459
5-Mar,106,Entertainment,4.2,100000,51,1390,9,135766,1,3,77,348
5-Mar,107,Social,3.8,100000,100,2495,9,304216,1,3,2,614
5-Mar,108,Entertainment,4,100000,51,546,6,52763,1,3,7,143
5-Mar,109,Personalization,4.1,100000,51,333,3,42537,0,1,5,135
5-Mar,110,Casual,4,100000,92,650,6,92308,0,2,4,188
5-Mar,111,Weather,4.2,100000,51,349,3,43625,0,1,4,139
5-Mar,112,Business,3.8,100000,51,835,6,160288,0,3,5,476
5-Mar,113,Personalization,4.1,100000,51,333,3,42537,0,1,4,135
5-Mar,114,Music & Audio,4.2,100000,92,1351,9,158075,1,3,10,391
5-Mar,115,Educational,3.9,100000,92,196,3,28416,0,1,14,87
5-Mar,116,Social,3.6,100000,92,1159,6,92560,0,4,4,234
5-Mar,117,Entertainment,4.2,100000,50,1558,5795,157350,2,3,2,404
5-Mar,118,Tools,3.6,100000,100,1042,18,130237,6,2,7,283
5-Mar,119,Entertainment,4.4,100000,51,615,6,66115,0,7,3,150
5-Mar,121,Entertainment,3.3,100000,100,3549,35606,294565,2,6,4,920
5-Mar,122,Weather,4,100000,0,13,3,582,0,1,7,1
5-Mar,123,Personalization,4.4,100000,92,321,6,57124,0,3,5,132
5-Mar,124,Weather,4,50000,92,530,3,82665,0,6,8,216
5-Mar,125,Tools,4.4,100000,0,359,9,36005,1,4,13,71
5-Mar,126,Weather,4,100000,0,30,3,1915,0,2,14,4
5-Mar,127,Puzzle,3.9,100000,51,70,6,4892,0,1,9,5
5-Mar,128,Entertainment,4.1,100000,51,546,6,52763,1,3,2,143
5-Mar,129,Card,3.9,100000,92,168,6,18841,0,9,3,50
5-Mar,130,Personalization,4.1,50000,92,558,3,86154,0,6,4,247
5-Mar,131,Music & Audio,3.9,100000,51,66,5111,7398,0,0,3,20
