"android.permission.UPDATE_APP_OPS_STATS","0.01","1","12215"
"android.permission.USE_ACCOUNTS","0.01","1","12215"
"android.permission.WAVE_LOCK","0.01","1","12215"
"android.permission.WI","0.01","1","12215"
"android.permission.WRITE_CLIPS","0.01","1","12215"
"android.permission.WRITE_EXTERNAL_STORAG","0.01","1","12215"
"android.permission.com.android.vending.BILLING","0.01","1","12215"
"android.permission.sec.MDM_EMAIL","0.01","1","12215"
"android.permission.sec.MDM_EXCHANGE","0.01","1","12215"
"android.permission.sec.MDM_REMOTE_CONTROL","0.01","1","12215"
