AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
Renault Radio Code Generator,Tools,4.7,10000,1,0,0,6,493,0,0,7
Old Wardrive,Tools,4.2,100000,1,50,3,3,4214,1,0,3
Installer,Tools,3.9,10000,1,50,35,4971,8806,2,0,7
Task Killer Free,Tools,4.2,10000,1,51,78,6,41840,2,2,4
CF-Bench,Tools,4.5,100000,1,51,23,3682,11076,1,0,2
Battery Clock ?,Tools,4.3,500000,1,0,7,3,897,1,1,5
Satellite Director,Tools,4.1,1000000,1,0,10,3,6849,2,0,16
gEditor,Tools,4.1,10000,1,0,19,3,3130,0,0,3
Epson Creative Print,Tools,3.4,100000,1,51,414,15,167049,1,3,4
Epson iPrint,Tools,4.1,1000000,1,51,2850,16,809541,2,2,2
Browser Arabic Hebrew Patch,Tools,4.2,10000,1,0,4,6,1512,1,0,7
Avira Antivirus Security,Tools,4.3,5000000,1,100,566,9,184938,11,2,9
"I miss You, CountDown : FREE",Tools,4,10000,1,0,3,3,1368,0,0,4
MyH2O,Tools,4.1,10000,1,51,8,3,3291,0,0,4
Smith Chart Matching Calc,Tools,4.3,10000,1,0,2,6,4046,1,0,15
RV Checklist,Tools,4.5,10000,1,0,20,9,8101,0,0,2
Call History 3D(Free),Tools,4.3,10000,1,50,11,3,3277,3,1,37
Happy Emoticons,Tools,3.3,50000,1,51,36,5120,13333,0,1,12
AppAdmin,Tools,4.3,10000,1,51,31,5101,11762,1,1,4
France-FR for Espier Apps,Tools,3.3,10000,1,0,0,6,1658,0,1,17
Uninstaller,Tools,4.5,10000,1,92,81,6,41407,0,1,2
Notepad,Tools,3.9,10000,1,51,28,9,9755,0,1,7
Get Altitude,Tools,4.2,500000,1,50,21,3,8842,0,0,10
Kitchen Timer,Tools,3.6,50000,1,51,8,6,2116,0,0,1
TipCalc - Tip Calculator,Tools,4.2,50000,1,51,22,6,8844,0,0,11
Clean Droid: Deep Cleaner,Tools,4.2,50000,1,100,563,9,350042,4,5,3
Karaoke Viet,Tools,4,10000,1,51,89,6,50248,0,3,4
GScript Lite,Tools,4.4,100000,1,50,10,6,4672,0,1,5
Large Ruler Centimeter,Tools,3.4,10000,1,92,538,6,216459,0,7,6
El Feneri - Lamba,Tools,4,50000,1,51,32,3,7298,1,2,16
Search Answers,Tools,3.8,50000,1,51,41,3354,17180,0,0,9
Wise Battery Saver(Trial),Tools,3.7,10000,1,51,6,3,2077,2,3,5
Fullscreen Countdown Timer,Tools,4.6,10000,1,0,2,3,1123,0,0,4
Wake My Android Pro (free),Tools,4.6,10000,1,0,33,3,2343,1,0,14
LeagueDroid League of Legends,Tools,4.3,100000,1,51,757,6,132901,2,1,11
Countdown!,Tools,3.5,10000,1,0,2,3,2846,0,0,3
Wall calendar,Tools,4,10000,1,51,37,3,8229,0,1,4
tanshaNoToraAutoRepair*2,Tools,4.5,50000,1,92,310,15,112246,0,2,3
Locale Airplane Mode Plug-in,Tools,3,10000,1,50,37,3,5953,2,0,20
McG Mobile Control Panel,Tools,2.5,10000,1,51,3,9,3672,0,0,4
Canon Easy-PhotoPrint,Tools,3.5,1000000,1,51,96,3,31758,0,1,5
Web Server,Tools,4,10000,1,51,14,3,8501,2,2,16
ICMPing,Tools,3.9,10000,1,51,45,6,13748,0,0,11
Flashlight HD LED,Tools,4.4,10000000,1,92,576,12,233804,1,7,5
Voodoo FreeOrNot,Tools,4.5,10000,1,51,31,6,12610,1,1,2
Black and White board,Tools,3.9,10000,1,92,219,6,113885,0,3,15
Watch And Calendar - Liveview,Tools,3.7,10000,1,51,29,5114,10481,2,0,3
CLOCK,Tools,4,10000,1,0,7,3,655,0,1,3
Wi-Fi Keep Alive,Tools,4.1,100000,1,51,6,3,1267,1,0,8
HotSpot Toggle,Tools,4,1000000,1,0,2,6,1800,0,1,2
??????? - ThaiGoldPrice,Tools,4.1,100000,1,51,33,3,7090,0,1,1
Caller Locator,Tools,3.9,100000,1,0,8,3,1891,1,0,2
System Apps Updater [ROOT],Tools,3.8,10000,1,0,75,9,16662,1,2,3
Multi-touch Visualizer,Tools,3.7,10000,1,92,251,6,243035,0,3,21
CPU Information,Tools,3.2,50000,1,51,62,3,15146,1,1,3
Barcode QR Scanner,Tools,4.2,1000000,1,100,315,9,104089,4,2,4
"AppCobber - one-tap"" vpn""",Tools,4.1,100000,1,51,96,6,20726,2,1,16
GPS-DFCI,Tools,4.1,10000,1,50,2,18,8022,3,1,12
PaniniKeypad Oriya IME,Tools,4.1,10000,1,51,24,6,5330,0,1,4
PaniniKeypad Assamese IME,Tools,4.2,10000,1,51,24,6,5337,0,1,8
PaniniKeypad Telugu IME,Tools,4,10000,1,51,24,6,5355,0,1,8
PaniniKeypad Kannada IME,Tools,4.2,10000,1,51,24,6,5309,0,1,2
PaniniKeypad Sinhala IME,Tools,3.9,10000,1,51,24,6,5335,0,1,5
PaniniKeypad Urdu IME,Tools,4.1,10000,1,51,108,6,52405,0,4,15
PaniniKeypad Tamil IME,Tools,4.1,50000,1,51,24,6,5247,0,1,2
PaniniKeypad Hindi IME,Tools,4.2,50000,1,51,103,9,49782,0,3,20
PaniniKeypad Bengali IME,Tools,4.3,50000,1,51,24,6,5360,1,1,3
PaniniKeypad Malayalam IME,Tools,4,100000,1,51,24,6,5357,0,1,15
PaniniKeypad Gujarati IME,Tools,4.1,100000,1,51,24,6,5304,0,1,12
PaniniKeypad Punjabi IME,Tools,4.3,100000,1,51,24,6,5286,0,1,15
PaniniKeypad Nepali IME,Tools,4.1,100000,1,51,64,9,28366,0,1,29
PaniniKeypad Marathi IME,Tools,4.1,100000,1,51,24,6,5384,0,1,13
Google Search,Tools,4.4,500000000,1,50,130,9,41475,2,0,10
????-??????????????????,Tools,4.3,1000000,1,51,1151,15,214902,5,1,6
Fly Tweaks ????? ??? Fly IQ440,Tools,4.3,10000,1,0,53,6,33382,0,2,6
Iran Android,Tools,4.1,50000,1,92,436,18,213270,0,6,1
Flash Grabber & Viewer,Tools,4,100000,1,51,112,9,33620,0,2,9
ZDbox ( Root Task Killer ),Tools,4.4,5000000,1,100,991,15,387292,8,8,10
Riem Browser (Khmer Unicode),Tools,4.4,50000,1,51,20,3,2302,2,0,8
Fing - Network Tools,Tools,4.7,1000000,1,51,304,6,45729,0,0,10
3x battery saver - iBattery,Tools,4.1,500000,1,51,56,9,32564,5,1,6
tanToraUraAutoEvent*2,Tools,4.2,10000,1,92,303,15,113335,0,2,4
Clean Master - Free Optimizer,Tools,4.7,100000000,1,80,1596,24,527380,22,0,19
ROM Manager,Tools,4.5,10000000,1,51,449,5114,182481,1,2,11
DroidVPN - Android VPN,Tools,3.9,1000000,1,51,147,6,93797,1,1,10
Don't Hang Up! Free,Tools,3.7,50000,1,50,37,5117,11483,2,1,11
99Taxis (para taxista),Tools,4.4,50000,1,50,431,6,234338,54,0,3
MobiLinc Lite,Tools,2.5,10000,1,51,602,12,159035,0,1,3
Battery Charged Silencer,Tools,4.3,10000,1,0,6,6,1227,0,0,1
MMGuardian? Parental Control,Tools,3.5,100000,1,50,466,9,141667,12,2,4
Chinese Calendar+ free&no ad,Tools,4.5,1000000,1,86,1193,15,345551,12,4,7
Sound Meter,Tools,4.3,10000000,1,92,597,12,289712,1,1,5
CM Security Heartbleed Scanner,Tools,4.6,1000000,1,51,65,6,28499,0,2,5
Network Monitor Mini,Tools,4.5,100000,1,92,86,6,32655,3,5,3
TheMiniMemo,Tools,4.4,50000,1,0,15,6,8391,2,0,2
XWind Downloader,Tools,4.2,100000,1,50,116,9,36234,2,1,12
Android Tuner Free,Tools,4.4,100000,1,100,884,12,342816,15,4,4
Dell Mobile Print,Tools,3.2,50000,1,50,1912,1642983,548397,8,0,6
WiFi Monitor,Tools,3.6,10000,1,92,562,6,308874,1,1,23
Hotspot Widget,Tools,4,1000000,1,0,3,3,775,0,1,1
Bulgaria Android,Tools,4.3,50000,1,92,426,18,212151,0,6,12
tanshaNoToraAutoRepair*2,Tools,4.5,50000,1,92,315,15,111672,0,2,4
PaniniKeypad Oriya IME,Tools,4.2,10000,1,51,24,6,5330,0,1,6
PaniniKeypad Assamese IME,Tools,4.2,10000,1,51,24,6,5337,0,1,17
PaniniKeypad Telugu IME,Tools,4,10000,1,51,24,6,5355,0,1,7
PaniniKeypad Sinhala IME,Tools,3.9,10000,1,51,24,6,5335,0,1,8
PaniniKeypad Kannada IME,Tools,4.2,10000,1,51,24,6,5309,0,1,17
PaniniKeypad Urdu IME,Tools,4.1,10000,1,51,108,6,52405,0,4,1
PaniniKeypad Hindi IME,Tools,4.1,50000,1,51,103,9,49782,0,3,2
PaniniKeypad Tamil IME,Tools,4.1,50000,1,51,24,6,5247,0,1,3
PaniniKeypad Malayalam IME,Tools,4,100000,1,51,24,6,5357,0,1,5
PaniniKeypad Bengali IME,Tools,4.3,50000,1,51,24,6,5360,1,1,3
PaniniKeypad Gujarati IME,Tools,4.2,100000,1,51,24,6,5304,0,1,5
PaniniKeypad Punjabi IME,Tools,4.3,100000,1,51,24,6,5286,0,1,2
PaniniKeypad Nepali IME,Tools,4.1,100000,1,51,64,9,28366,0,1,11
PaniniKeypad Marathi IME,Tools,4.2,100000,1,51,24,6,5384,0,1,3
Easy Battery Saver,Tools,4.6,10000000,1,50,684,9,227444,8,1,6
aShell,Tools,4,10000,1,0,10,6,3697,0,0,9
????,Tools,4.7,10000,1,0,8,3,1347,0,1,3
Burn-in Savior Free,Tools,3.4,10000,1,0,27,6,11016,0,0,3
Notes,Tools,4.2,10000,1,50,34,4971,8811,1,0,7
Smart Memo,Tools,3.8,10000,1,92,93,6,41929,1,1,4
gMol (old version),Tools,4.2,10000,1,51,46,6,12363,0,0,3
Cockpit Joe Mobile,Tools,3.8,10000,1,51,1,3,924,0,1,13
Android Sensors Viewer,Tools,4.1,10000,1,0,21,3,1290,0,0,3
Heater,Tools,2.9,50000,1,0,1,3,618,0,0,3
StopWatch,Tools,4,10000,1,51,18,3,8086,0,1,6
Furbish (colored wallpapers),Tools,4.5,10000,1,51,44,3357,15517,0,0,5
?????,Tools,4.1,50000,1,51,34,6,9004,0,0,11
??????????,Tools,4.1,50000,1,0,34,3,5687,0,0,8
Scrabble Short Words,Tools,3.8,50000,1,51,38,3378,14816,0,0,11
RL Benchmark: SQLite,Tools,4.5,50000,1,0,3,3,1875,1,0,4
Digital Clock Widget,Tools,4.3,50000,1,0,10,6,3015,0,1,12
Komado,Tools,3.7,10000,1,51,16,3,5081,0,0,4
Free Light,Tools,4,100000,1,0,2,3,910,0,0,1
ModeChanger for SmartWatch,Tools,4.2,100000,1,0,7,6,7264,0,1,5
SMS Reader,Tools,4,100000,1,0,11,6,2728,1,0,7
GPS Essentials Contacts Plugin,Tools,4.3,100000,1,0,22,3,10223,0,3,13
Milestone Overclock,Tools,4.3,500000,1,0,6,3,1495,0,0,20
RemindMe,Tools,4.3,500000,1,0,11,3,3590,0,0,5
920 Text Editor,Tools,4.3,100000,1,0,165,9,27726,0,2,1
Samsung LG apps store,Tools,3.6,100000,1,51,98,9,38400,0,7,7
Ses Tan?ma,Tools,4,10000,1,51,0,6,558,1,0,4
E Juice Calculator,Tools,4.2,10000,1,0,0,3,2835,0,0,2
?????????? ???????????,Tools,4.1,10000,1,50,0,3,1487,0,0,17
Italian for Espier Apps,Tools,3.4,10000,1,0,0,6,1688,0,1,9
Data Toggle Widget,Tools,4.3,10000,1,0,2,3,1069,3,1,15
WebRank SEO,Tools,3.5,10000,1,92,193,6,94183,0,3,6
Flashlight,Tools,3.7,50000,1,51,30,3,6952,0,0,13
flash light pro,Tools,4.4,10000,1,51,45,3,11825,0,0,8
Download All Files,Tools,4.1,10000000,1,51,94,9,25535,0,2,13
SecondStatus(second clock),Tools,4.6,10000,1,0,0,3,2613,0,0,17
??????????,Tools,2.9,10000,1,50,23,6,7887,2,0,8
Xperia Z For All,Tools,4.2,100000,1,51,371,9,110769,0,3,7
Day Counter,Tools,2.5,10000,1,51,6,6,4597,0,0,9
DS ?? ???,Tools,4.2,10000,1,0,5,3,700,0,1,3
WifiStateViewer,Tools,4.5,10000,1,51,12,3,5235,0,2,3
App Manager (Free),Tools,4.3,10000,1,0,21,6,10919,2,2,11
Cell Widget,Tools,4.3,10000,1,0,5,6,3464,0,1,7
Electronics Toolkit,Tools,4.2,100000,1,0,2,3,501,0,1,3
Simple Qibla,Tools,4.3,100000,1,51,27,5114,9032,0,0,3
CPU Stats,Tools,4.6,100000,1,0,42,6,12172,0,0,3
Google Authenticator,Tools,4.5,1000000,1,51,374,7,157574,0,4,6
Dynamic DNS client,Tools,4.2,50000,1,51,41,6,14988,0,2,6
Calculator ++,Tools,4.6,1000000,1,92,523,315332,167365,2,4,4
Floating Soft Keys *ROOT*,Tools,4.1,10000,1,0,158,12,80861,3,3,2
FBI Child ID,Tools,3.7,50000,1,51,150,9,71062,1,3,20
Mapbee FAMILY protector,Tools,4.3,50000,1,88,938,20,411852,6,2,7
??????,Tools,4.3,100000,1,51,253,6,107058,4,3,4
Emergency Rescue Alarm,Tools,3.9,50000,1,50,439,21,163206,0,6,23
File Expert HD with Clouds,Tools,4.3,500000,1,86,1511,37,475451,18,0,5
Light Flow Lite - LED Control,Tools,3.7,1000000,1,18,426,12,172067,7,5,7
ShakeCall,Tools,4.1,500000,1,51,28,3660,8103,0,0,19
Dog Whistler,Tools,3.3,1000000,1,51,71,3,13072,1,1,2
File Expert with Clouds,Tools,4.4,5000000,1,86,1513,37,475719,18,0,16
91????,Tools,3.9,10000,1,51,16,3,14499,0,1,5
Persian Calendar 91,Tools,4.2,10000,1,0,17,3,7383,1,2,6
Unique Lotto Betting Method,Tools,4.2,50000,1,51,252,6,200599,1,3,10
Where Am I ? GeoCode,Tools,4.1,10000,1,50,1252,15,309558,2,10,25
Enigma Signal Meter-SatFinder,Tools,4.1,100000,1,51,200,6,69077,0,1,5
Torchlight 911 Original,Tools,4,10000,1,51,93,12,27935,1,0,6
Androiccu IPv6 tunnels,Tools,3.8,10000,1,51,6,6,4701,0,1,18
Chameleon Battery,Tools,3.6,10000,1,51,34,6,8178,0,1,2
Clock BlackBlue,Tools,4.3,10000,1,0,0,3,254,0,0,3
Voice2Text,Tools,3,10000,1,51,36,3663,6628,0,0,2
Emoticon,Tools,4.4,100000,1,92,138,24,47013,1,2,4
Satellite Finder Pro,Tools,3.6,100000,1,51,121,6,60962,1,1,4
Ripcord Alarm,Tools,4.4,10000,1,0,18,3,7291,0,2,3
World Clock,Tools,3.8,10000,1,50,32,4971,9031,1,0,4
Honda Compression Calculator,Tools,4.4,10000,1,51,20,5111,9594,0,0,7
EboBirthday Contact Sync,Tools,4.1,100000,1,51,50,3,9816,0,0,8
Rom Manager Janitor,Tools,4.4,100000,1,0,26,3,8636,2,0,4
Georgian Full AnySoftKeyboard,Tools,4.4,50000,1,0,0,6,213,0,0,3
WiFi Keyboard,Tools,4.4,500000,1,51,6,3,4684,0,0,6
CPU-Z,Tools,4.5,1000000,1,92,138,9,71080,0,1,2
A1 CPU Tool,Tools,4.5,50000,1,51,15,3,9172,0,0,1
Faster Internet 2X,Tools,4.1,500000,1,92,192,6,82871,0,5,8
