AppName,Genre,UserRating,LowerDownloads,isJavaAnalyze,AndroRisk,Jlint,DefectCount,LOC,OPrivCount,UPrivCount,PermissionCount
SMART Speaking OPIc,Education,4.3,10000,1,51,29,5098,13391,0,1,7
??? ??? TOEFL,Education,4,50000,1,51,65,5098,32303,0,1,2
Schweizer Armee Dienstgrade,Education,4.7,10000,1,51,62,9,15334,0,1,5
??????,Education,4,10000,1,0,3,3,922,4,0,9
CueBrain! languages french etc,Education,3.8,100000,1,51,186,3685,50828,0,2,12
PvP - Phrasal Verbs Program,Education,3.9,10000,1,51,26,5095,7119,0,0,4
iNB Lite,Education,3.4,10000,1,51,41,3354,15090,0,0,6
English Arabic Dictionary,Education,4.3,100000,1,92,103,12,82880,2,1,7
????-????????????????,Education,4.4,50000,1,51,1074,33,344035,3,4,3
IELTS 6.5 - 7.0,Education,3.6,10000,1,100,333,9,260795,1,2,9
Trash to Treasure by BabyBus,Education,3.7,100000,1,100,895,12,268219,0,5,6
Car Safety and Repair -BabyBus,Education,3.8,100000,1,100,895,12,268219,0,5,5
Hi Kiki-Babybus,Education,3.7,100000,1,100,972,15,304732,1,4,4
My Rhythm by BabyBus,Education,3.8,100000,1,100,895,12,268219,0,5,15
?????? ??? ???????,Education,4.6,100000,1,51,42,3,12892,0,1,2
Moon Explorer,Education,3.9,10000,1,100,962,9,292105,2,3,11
?????????Studyplus ???????????,Education,4.4,100000,1,92,1706,27,620933,2,2,9
???? ?? ??????,Education,3.8,10000,1,51,74,9,34263,5,1,2
???? ?? ????,Education,3.9,10000,1,51,24,6,18699,7,1,7
???? ?? ????,Education,3.8,10000,1,51,25,6,14745,7,1,2
???? ?? ???,Education,4,100000,1,51,57,12,35711,4,1,4
Baby Sound School (animals),Education,3.8,50000,1,51,5,3,7665,2,0,5
??500????????,Education,3.7,10000,1,50,134,6,53965,0,1,4
????500????????,Education,4.1,50000,1,50,134,6,53965,0,1,12
500 Words in english,Education,4.2,10000,1,50,106,3,39604,0,3,4
500 ???? ????? ??????? ?????,Education,4,50000,1,92,81,6,40372,0,1,12
Java SCJP on Android,Education,4.2,10000,1,0,0,130,1003,0,0,14
???? - ????? (Sammy????),Education,4.6,100000,1,92,145,6,65545,2,3,2
Graphing Calculator by Mathlab,Education,4.4,500000,1,92,693,12,216806,0,1,3
Read Me Stories: Learn to Read,Education,4.4,100000,1,51,312,9,89241,1,4,2
Optical Illusions,Education,3.9,500000,1,92,134,6,175213,0,1,3
Duolingo: Learn Languages Free,Education,4.6,10000000,1,51,1379,12,526438,1,5,3
RoadSignQuiz(Japan),Education,3.7,10000,1,92,206,15,82708,0,3,18
Raz-Kids,Education,4.1,100000,1,51,289,9,112050,0,3,5
?????????Studyplus ????????,Education,4.4,100000,1,92,1704,27,624971,2,2,5
TOEFL Incorrect Word,Education,4,10000,1,92,146,6,55547,0,4,10
SSC SI ASI CAPF CISF CRPF ITBP,Education,4.2,10000,1,51,96,9,25808,0,2,4
Short Range Certificate (SRC),Education,4.6,10000,1,0,8,3,2442,0,0,9
Quadratic Equation Solver,Education,3.8,10000,1,92,85,9,41586,0,1,4
Annales Bac S,Education,3.4,10000,1,51,25,3660,6096,0,0,3
???? ?????????? ???,Education,4.3,100000,1,0,0,6,729,1,1,18
??? - ?????2 EngKing,Education,4.6,1000000,1,92,470,12,135669,2,3,8
ISS?,Education,4.2,100000,1,50,204,6,88631,0,3,3
?????,Education,4.5,10000,1,50,437,12,181777,3,2,8
Chemical Calculator,Education,3.9,10000,1,51,50,3,12970,0,1,7
Calc 92+ Free,Education,4.3,10000,1,51,132,41164,31063,0,1,5
???:??????? ???? 2014,Education,4.4,100000,1,92,130,9,80837,0,1,2
??? ????,Education,4.6,50000,1,51,49,12,23211,2,0,3
How To Draw racing car,Education,4.2,50000,1,51,190,9,70591,0,3,8
Math Tricks,Education,4.2,100000,1,92,399,9,274385,0,2,4
Nikki Kahani,Education,4.4,10000,1,51,125,6,51949,0,6,9
??????? ?????????? (???????),Education,4.1,50000,1,92,204,6,103628,0,1,8
??????? 1??,Education,4.3,100000,1,50,363,12,127440,4,1,7
English Grammar Tests,Education,4.1,100000,1,92,91,9,35333,0,1,6
KPSS Soru Canavar?,Education,3.9,100000,1,92,169,6,87627,0,2,8
MyEar - Ear Training,Education,4.3,50000,1,92,332,9,156684,0,3,3
Eggy Alphabet,Education,3.4,10000,1,92,100,6,43026,0,9,6
Turkish Tutor,Education,4.2,10000,1,0,7,6,5066,0,3,18
??????????????????????,Education,4.1,100000,1,100,144,6,52030,1,2,9
?????? ?????(???????),Education,4.5,10000,1,50,22,6,12224,6,2,2
