Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
2,Casual,3.8,100000,51,2755,12,272400,4156,1914,641,,4,,5
2,Adventure,3.7,50000,92,1319,9,182106,3273,2343,377,1,6,2,12
2,News & Magazines,4,500000,51,787,9,93286,1305,515,189,,2,3,13
2,Music & Audio,4.2,100000,51,761,6,101810,1347,481,184,3,1,2,8
2,Sports,4.4,1000,92,1424,9,136261,,,,,1,2,
2,Casual,4.3,100000,51,114,6,21608,159,40,15,,2,2,3
2,Music & Audio,4.3,50000,0,60,6,3760,65,18,6,1,1,2,4
2,Education,4.3,500000,51,130,3,16897,212,76,28,2,1,3,6
2,Entertainment,3.5,100000,92,2354,9,257301,4834,3428,604,,3,2,
2,Entertainment,3.3,100000,50,303,6,31213,,,,3,,5,
2,Tools,3.7,1000,92,4768,33,591648,9013,4615,1243,,8,6,
2,Finance,3.6,100000,50,3484,80397,310810,,,,13,,2,
2,Board,3.7,1000000,51,544,9,50391,802,185,74,,5,2,5
2,Transportation,4.1,5000,51,210,6,13368,182,80,32,,,2,
2,Casual,3.7,10000,0,1141,9,90416,1494,723,266,,6,2,
2,Personalization,4.5,1000,0,15,6,368,4,4,1,,,2,7
2,Business,4.1,1000,51,557,9,59756,754,144,58,1,7,5,1
2,Health & Fitness,4.5,1000,51,987,6,81996,1180,520,175,,3,17,
2,Transportation,4.5,100000,50,2416,12,268741,4300,2356,573,1,3,2,9
2,Weather,3.6,10000,50,302,6,43278,971,619,116,2,2,2,3
2,Sports,4.4,5000000,100,6243,18,651954,10628,5594,1776,2,3,,
2,Adventure,4,100000,51,1114,12,114239,1556,703,280,1,8,2,33
2,Health & Fitness,3.1,10000,0,46,3,2037,3,0,0,,,2,3
2,Educational,3.7,5000,51,381,9,31306,,,,,3,2,
2,Tools,4.1,1000,51,131,3349,7754,,,,,,2,
2,Personalization,4.3,50000,51,66,3,6599,,,,,,2,
2,Books & Reference,4,1000,51,503,6,41483,555,174,77,,1,2,10
2,Personalization,3.9,10000,92,1195,6,125247,1440,578,218,,3,2,7
2,Lifestyle,4.2,50000,92,2275,9,205775,3119,1326,303,3,1,2,7
2,Lifestyle,3.1,100000,51,69,3,7075,,,,,,2,
2,Music & Audio,4.6,5000000,51,1515,6,149766,640,81,34,4,1,13,16
2,Health & Fitness,4.7,1000,50,229,6,15683,289,121,43,,,2,1
2,Tools,3.7,50000,0,86,6,6700,90,12,5,,,2,5
2,Puzzle,3.8,1000000,100,2968,9,310170,5069,2711,551,1,3,2,13
2,Education,4.2,50000,50,1036,6,116979,1672,805,257,,2,,
2,Productivity,4.4,500000,0,143,3,18870,293,85,39,1,1,3,
2,Business,4.6,1000,51,286,9,30046,403,121,44,5,3,2,
2,Education,4.5,100000,92,4989,12,539205,9310,5887,1189,,6,,
2,Education,4,50000,51,577,9,55680,734,309,131,1,5,2,2
2,Entertainment,4.1,100000,51,0,0,0,,,,8,,5,
2,Comics,4.3,5000,92,706,9,84446,847,385,141,,3,3,4
2,Tools,3.7,5000,51,110,6,12225,198,48,19,1,,2,2
2,Education,3.9,10000,51,134,3,12970,201,34,15,,1,2,4
2,Entertainment,3,10000,0,15,3,1319,31,6,3,,,,
2,Puzzle,4.3,10000,51,780,6,71749,1094,395,163,1,2,2,46
2,Word,4.6,10000000,92,6036,12,477336,6123,1792,664,5,,5,2
2,Music & Audio,3.9,1000,92,1198,6,208511,2315,1357,287,,2,2,4
