Group,Genre,UserRating,LowerDownloads,FuzzyRisk,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount
1,Media & Video,2.3,10000,51,61,6,5099,80,24,11,,,3,24
1,Arcade,2.7,5000,0,30,3,3063,83,17,7,,1,2,2
1,Transportation,2.7,1000,51,124,3,13144,186,49,22,,,2,3
1,Lifestyle,2.8,10000,51,63,6,7089,101,26,13,1,,2,3
1,Entertainment,2.4,10000,51,55,3660,5493,48,0,0,,,2,4
1,Photography,2.7,10000,51,171,9,15106,161,30,13,1,1,5,2
1,Entertainment,2.8,5000,0,11,3,554,8,0,0,,1,2,10
1,Tools,2.9,50000,0,12,3,498,15,9,3,,,2,1
1,Arcade,2.3,10000,51,34,3,3388,68,38,18,,,2,15
1,Music & Audio,2.8,5000,51,24,3,1540,31,6,3,2,,2,8
1,Sports,2.7,1000,51,604,9,59237,916,421,172,,2,2,9
1,Entertainment,2,1000,50,90,3,11251,143,33,15,3,1,4,13
1,Business,2.8,1000,51,386,3,29005,414,76,34,,5,3,6
1,News & Magazines,2.5,1000,50,1764,12,198611,2230,751,287,2,1,3,27
1,Education,2.9,100000,51,1386,12,117734,1654,551,186,1,1,5,4
1,Business,2.6,1000,50,1275,6,175450,3850,2521,448,3,2,5,7
1,News & Magazines,2.9,1000,92,612,6,76031,852,378,141,,1,2,4
1,News & Magazines,2.8,10000,51,800,15,86806,1115,418,163,,1,2,8
1,Music & Audio,2.4,1000,51,109,3,9328,235,227,25,4,1,2,2
1,Entertainment,2.3,1000,51,93,3,5631,100,11,5,1,1,3,7
1,Music & Audio,2.8,1000,0,325,6,29724,434,213,89,,2,2,7
1,Media & Video,2.8,5000,51,67,6,7953,142,55,24,,2,2,7
1,Puzzle,2.7,1000,51,21,3,1376,35,28,10,2,,2,20
1,Travel & Local,1.9,1000,51,69,6,3134,13,4,2,,,2,6
1,Entertainment,2.8,1000,51,24,3,2212,35,14,7,,,2,1
1,Libraries & Demo,2.4,10000,0,21,3,1973,30,2,1,,,2,16
1,Lifestyle,2.9,5000,0,19,9,1303,16,2,1,,,2,4
1,Social,2.5,1000,51,1446,5057,96331,1280,436,148,,2,6,4
1,Media & Video,2.4,1000,0,61,3,3555,78,16,7,,2,2,8
1,Comics,2,10000,51,107,3,11668,193,58,27,,,2,4
1,Comics,2.5,5000,51,77,3,8594,138,37,17,,,2,3
1,Lifestyle,2.5,5000,0,22,3,1137,29,4,2,,,2,4
1,Entertainment,2.9,50000,0,9,3,253,3,2,1,,1,2,1
1,Shopping,2.8,10000,51,236,9,16686,323,104,44,,,2,15
1,Business,2.9,10000,51,164,9,15280,289,81,37,3,,2,17
1,Lifestyle,2.8,10000,0,98,3,7070,137,104,26,,1,2,9
1,Education,2.3,1000,51,459,9,48434,676,274,114,2,5,2,3
1,Travel & Local,2.9,5000,50,348,6,31820,461,146,53,3,1,2,5
1,Entertainment,2.7,5000,51,131,5095,9745,136,30,10,,,2,4
1,Entertainment,2.8,1000,51,111,3,12191,174,47,21,,,2,5
1,Media & Video,2.4,10000,51,94,6,12955,306,142,33,,,2,3
1,Puzzle,2.6,5000,51,23,3,1877,44,16,6,1,,3,10
1,Lifestyle,2.4,1000,51,83,6,8905,167,53,23,,,2,6
1,Tools,2.8,1000,50,84,6,10293,132,27,12,,,2,15
1,Entertainment,2.8,1000,51,104,3,13931,119,30,12,,,2,8
1,Media & Video,1.8,10000,51,114,3,12296,169,47,21,,,2,5
1,Entertainment,2.2,5000,50,75,12,7878,117,30,15,5,,2,14
1,Entertainment,2.1,1000,51,111,3,12191,174,47,21,,,2,3
1,Media & Video,2.5,10000,51,113,6,12000,172,49,22,,,2,4
1,Puzzle,2.5,10000,0,84,3,5687,117,41,14,,,2,4
1,Business,2.3,1000,51,63,9,4856,103,8,4,,1,2,4
1,Tools,2.7,1000,0,16,3,758,14,4,2,,,2,1
1,Tools,2.5,10000,51,45,9,3672,55,19,9,,,2,1
1,News & Magazines,2.1,50000,51,71,3,9332,110,25,12,,9,2,26
1,News & Magazines,2.2,100000,51,940,9,72370,1178,189,79,,,5,4
1,Health & Fitness,2.5,1000,51,1257,15,233544,3320,1428,373,,7,2,3
1,Business,2.7,100000,50,683,12,59730,1051,284,112,1,,2,6
1,Travel & Local,1.8,1000,0,629,9,91286,2047,1683,213,,3,2,6
1,Lifestyle,2.8,1000,51,134,6,13583,211,67,28,6,,2,4
1,Sports,2.1,1000,51,541,6,46967,701,343,129,,4,2,22
1,Puzzle,1.2,1000,0,14,3,1719,9,0,0,,,2,10
1,Puzzle,1,1000,51,107,5117,15066,134,14,7,,,2,13
1,Lifestyle,2.5,1000,51,3977,22,376664,7079,4200,1256,2,2,5,13
1,Arcade,2.6,1000,51,600,3555,67571,950,260,114,1,2,2,4
1,Casual,2.5,1000,51,37,3,6233,74,12,6,,1,2,7
1,Productivity,2.4,1000,51,188,3357,16495,216,69,28,1,,2,11
1,Social,2.9,5000,50,611,12,58833,698,219,63,1,2,5,6
1,Education,1,1000,51,279,3390,22644,328,111,44,1,,2,5
1,Card,2.8,1000,51,1264,15,237625,3289,1406,376,,7,2,13
1,Tools,2.5,10000,51,2325,12,159035,2226,670,221,,1,2,2
1,Business,2.1,1000,51,549,6,61689,776,283,110,,1,2,1
1,Entertainment,1.6,1000,51,116,3,10323,187,61,23,,1,5,2
1,Business,2.4,1000,51,499,348,60686,673,172,70,1,,2,8
1,Business,2.7,100000,50,683,12,59743,1051,287,112,1,,2,8
1,Transportation,1.4,1000,51,61,5095,6165,58,2,1,,,3,5
1,Transportation,2.5,1000,51,61,5095,6165,58,2,1,,,3,14
1,News & Magazines,1.5,5000,51,119,3,13033,198,53,24,,,2,2
1,Tools,2,1000,50,186,3357,15381,213,67,27,3,1,2,4
1,Tools,2.3,1000,0,36,3,3280,79,51,12,,1,2,5
1,Puzzle,2.5,1000,51,60,5095,6122,57,0,0,,,2,29
1,Productivity,2.1,5000,0,15,3,973,23,4,2,1,1,2,4
1,Shopping,2.1,10000,0,56,3,5854,111,33,14,,8,2,2
1,Transportation,2.8,1000,51,61,5095,6165,58,2,1,,,3,2
1,Entertainment,2.5,10000,51,63,3,5544,120,46,20,,,2,1
1,Transportation,2.4,5000,51,61,5095,6165,58,2,1,,,3,3
1,Shopping,2.9,5000,0,28,6,1109,21,4,2,,,2,1
1,Communication,2.7,10000,51,49,6,4492,72,14,7,,,3,4
1,Tools,2.9,50000,0,11,3,618,14,2,1,,,2,3
1,Travel & Local,2.9,100000,51,107,3,8142,109,23,10,,1,2,9
1,Photography,2.7,100000,51,79,3,8078,103,10,4,1,1,3,8
1,Entertainment,2.5,1000,50,1398,15,116719,1645,405,164,1,4,3,3
1,Entertainment,2.8,1000,95,809,5105,76656,1100,433,126,6,1,2,30
1,Business,2.8,1000,50,972,12,86237,1236,321,108,9,1,2,16
1,Finance,2.1,1000,51,1278,9,125426,1768,824,275,,3,2,8
1,Media & Video,2.5,10000,51,129,5111,11406,128,33,14,1,,2,6
1,Shopping,2.9,10000,51,316,6,22941,304,49,22,,4,3,6
1,Finance,2.8,1000,51,836,9,77422,1047,153,66,,3,3,9
1,Travel & Local,2.5,1000,50,1134,9,132327,1867,678,244,,2,3,55
1,Travel & Local,1,1000,51,319,6,23129,310,53,23,,4,3,18
1,Entertainment,2.6,10000,51,377,3,38081,471,217,63,1,3,4,14
1,Lifestyle,2.3,1000,100,4707,30,584363,8909,4573,1235,,5,6,2
1,Transportation,2.8,5000,50,2408,15,293714,4949,3158,688,,1,5,2
1,Sports,2.4,1000,51,1469,18,160857,2981,1075,405,,6,2,13
1,Business,2.2,10000,0,36,6,4891,25,4,2,,,2,17
1,Medical,2.6,10000,51,282,3390,23823,361,144,53,1,,2,8
1,Entertainment,2.2,50000,0,15,3,736,13,0,0,,,2,4
1,Education,2,1000,51,114,6,8104,86,39,13,,1,2,6
1,Tools,1.4,1000,51,51,115,7345,95,16,5,,,2,2
1,Lifestyle,2.7,1000,51,118,6,12578,129,14,7,,1,2,12
1,Finance,2.9,1000,51,36,6,2409,39,8,4,,,2,6
1,Puzzle,2.8,5000,51,65,6,7755,119,27,12,,,2,3
1,Tools,2.9,10000,50,67,6,7887,118,27,12,2,,2,16
1,Tools,2.5,10000,51,50,6,4597,72,55,12,,,2,1
1,Health & Fitness,2.9,1000,51,494,9,50254,691,322,132,,1,2,10
1,Entertainment,2.8,1000,51,17,3,1176,16,0,0,,1,2,9
1,Finance,2.4,1000,50,96,6,10619,132,21,9,7,1,2,7
1,Puzzle,2.6,1000,50,201,77,20161,285,125,34,,1,2,5
1,Personalization,2.9,10000,51,67,3,7684,79,41,17,3,,2,3
1,Puzzle,2.8,10000,92,992,15,119989,1289,395,152,,5,2,6
1,Communication,2.8,1000,50,800,6,97060,1621,855,291,1,,2,3
1,Comics,2.3,1000,50,786,9,79807,1203,368,156,1,6,3,11
1,Arcade,2.8,10000,,39,3,2251,47,4,2,,1,2,18
1,Casual,2.6,10000,51,53,3660,5536,52,0,0,,,2,9
1,Weather,2.9,5000,,9,3,354,2,0,0,3,,3,6
1,Casual,2.8,1000,92,1065,9,122838,1306,449,152,,1,6,17
1,Sports,2.4,5000,51,24,3,1811,24,6,2,,,2,6
1,Tools,2.7,1000,,75,3,4569,80,35,12,,1,2,6
1,Casual,2.9,1000,51,50,3,3161,67,22,10,,,5,8
1,Puzzle,2.9,1000,51,45,3,5255,70,15,7,,,5,16
1,Shopping,2.4,1000,51,116,9,13200,187,39,17,1,,2,6
1,Lifestyle,2.9,1000,51,69,6,7466,82,4,2,,1,2,5
1,Education,2.4,1000,51,323,6,64982,496,152,53,1,1,2,10
1,Lifestyle,2.8,1000,51,8,3,265,6,2,1,1,,2,11
1,Lifestyle,2.9,1000,100,2560,12,287909,5250,3439,603,1,5,2,2
1,Entertainment,2.8,1000,51,133,3676,8469,114,62,9,1,,2,7
1,Casual,2.9,100000,0,8,3,292,6,0,0,,,2,6
1,Tools,2.3,1000,0,27,3,1977,51,6,3,,,2,9
1,Travel & Local,1,1000,51,1984,15,214228,3452,1750,354,,4,2,2
1,Entertainment,2.9,10000,51,78,3,8600,97,4,2,,1,2,2
1,Entertainment,2.9,100000,51,1032,12,104283,1076,201,73,1,1,5,8
1,Business,2.4,1000,51,10,3,802,25,8,4,,,2,3
1,Weather,2.6,5000,50,208,9,25590,347,78,34,1,5,5,3
1,Music & Audio,2.9,5000000,50,4983,12,502133,7409,2693,806,7,4,6,6
1,Puzzle,1,1000,51,113,5098,16520,266,70,30,,1,2,17
1,Business,2.2,1000,51,84,3,5012,88,9,4,1,1,3,2
1,Finance,2.8,10000,51,80,9,8426,75,2,1,,,,9
1,Entertainment,2.9,50000,92,3425,15,362014,6380,4151,841,1,5,2,4
1,Productivity,2.1,100000,51,1516,12,144058,1949,486,190,2,7,8,12
1,Entertainment,2,1000,51,286,6,31814,369,67,28,4,4,2,16
1,Social,2.3,1000,51,9,3,250,3,2,1,,,2,6
1,Entertainment,2.7,100000,92,1212,6,197131,2291,1438,327,,2,2,3
1,Puzzle,2.5,5000,51,215,6,20310,196,30,13,,2,2,6
1,Puzzle,2.6,5000,51,316,6,34728,333,53,22,,4,2,18
