Files,LevenDistance
kraw_try1.sumprod4c()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3c(),13.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2a(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3a(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2d(),11.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4a(),10.0
kraw_try1.sumprod4c()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod4c()-kraw_try1.sumprod2b(),10.0
kraw_try1.sumprod4c()-kraw_try1.sumprod4d(),24.0
kraw_try1.sumprod4c()-kraw_try1.type3a_krawitz(),38.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3e(),15.0
kraw_try1.sumprod4c()-kraw_try1.type1b_krawitz(),39.0
kraw_try1.sumprod4c()-kraw_try1.sumprod3d(),6.0
kraw_try1.type3b_krawitz()-kraw_try1.type2a_krawitz(),31.0
kraw_try1.type3b_krawitz()-kraw_try1.type1a_krawitz(),27.0
kraw_try1.type3b_krawitz()-kraw_try1.type3a_krawitz(),30.0
kraw_try1.type3b_krawitz()-kraw_try1.type1b_krawitz(),26.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4b(),1.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3b(),2.0
kraw_try1.sumprod1a()-kraw_try1.sumprod1c(),0.0
kraw_try1.sumprod1a()-kraw_try1.type2a_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprodo(),1.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2c(),15.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3c(),10.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2a(),2.0
kraw_try1.sumprod1a()-kraw_try1.sumprod3a(),4.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2d(),3.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4a(),0.0
kraw_try1.sumprod1a()-kraw_try1.type1a_krawitz(),39.0
kraw_try1.sumprod1a()-kraw_try1.sumprod2b(),3.0
kraw_try1.sumprod1a()-kraw_try1.sumprod4d(),22.0
kraw_try1.sumprod1a()-kraw_try1.type3a_krawitz(),39.0
