Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
0,Entertainment,2.4,50000,16,3,900,21,11,5,0,0,2,0,66680,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,0,0,51.11111111
0,Music & Audio,2.8,5000,202,6,22969,265,87,31,2,0,2,1,30485,0,0,0,1,0,0,0,0,0,0,2,3,0,1,0,5,0,0,0,1,50
0,Finance,1,1000,54,3,5382,54,21,10,0,0,2,0,66513,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0,Sports,2.7,1000,235,6,21342,448,208,88,0,5,2,13,29718,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
0,Tools,2.8,1000,84,6,10293,132,27,12,0,0,2,8,6160,0,0,0,1,0,0,0,0,0,0,2,0,0,1,0,3,0,0,0,2,50
0,Communication,2.7,5000,31,3,4712,52,26,7,4,0,2,1,29326,0,0,0,1,0,0,0,0,0,0,5,5,2,1,4,7,0,0,1,0,51.11111111
0,Lifestyle,2.7,1000,118,6,12578,129,14,7,0,1,2,11,11566,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
0,Lifestyle,2.8,10000,98,3,7070,137,104,26,0,1,2,3,5755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Finance,2.4,1000,96,6,10619,132,21,9,7,1,2,12,11957,0,0,0,1,0,0,0,0,0,0,9,6,0,1,1,10,0,0,0,2,50
0,News & Magazines,2.5,1000,733,9,67801,1044,403,162,1,3,2,0,67549,1,0,1,1,0,0,0,0,0,0,3,5,0,2,0,8,0,0,0,2,50
0,News & Magazines,2,1000,85,6,9573,119,13,5,0,0,2,11,23269,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
0,Casual,2.8,1000,112,3,12120,178,52,22,0,0,2,5,2757,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
0,Books & Reference,2.4,5000,213,9,24992,239,54,21,0,2,2,0,68549,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,51.11111111
0,Travel & Local,2.9,5000,67,3,5854,97,31,14,7,1,2,2,1403,0,0,1,0,0,0,0,0,0,0,4,4,2,1,4,10,0,0,0,1,50
0,Books & Reference,2.5,1000,233,3660,28039,385,101,47,1,5,2,3,3116,0,0,1,1,0,0,0,0,0,0,1,2,0,1,0,4,0,0,0,0,51.11111111
0,Tools,1.5,1000,18,3,778,13,0,0,0,0,4,0,51346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,Sports,2.7,1000,604,9,59237,916,421,172,0,2,2,4,5066,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
0,Tools,2.9,50000,11,3,618,14,2,1,0,0,2,5,10941,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,Photography,2.9,50000,314,3669,33942,493,208,58,2,0,4,0,71659,0,0,1,1,0,0,0,0,0,0,2,2,0,1,0,4,0,0,0,0,51.11111111
0,Lifestyle,2.8,10000,63,6,7089,101,26,13,1,0,2,7,4748,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,2,0,0,0,0,51.11111111
0,Comics,2,10000,107,3,11668,193,58,27,0,0,2,7,5579,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,51.11111111
