Group,Genre,UserRating,LowerDownloads,JavaFiles,DefectCount,JLINT_LOC,SourceFragment,CloneFragment,CloneGroup,OPrivCount,UPrivCount,IntentsCount,PermissionCount,RowID,DEX_NATIVE,DEX_DYNAMIC,DEX_CRYPTO,DEX_REFLECTION,APK_DEX,APK_EXECUTABLE,APK_ZIP,APK_SHELL_SCRIPT,APK_APK,APK_SHARED_LIBRARIES,PERM_PRIVACY,PERM_NORMAL,PERM_MONEY,PERM_INTERNET,PERM_SMS,PERM_DANGEROUS,PERM_SIGNATUREORSYSTEM,PERM_CALL,PERM_SIGNATURE,PERM_GPS,FuzzyRisk
2,Finance,4.2,100000,767,6,0.0019465,1032,366,140,1,1,2,8,13909,0,1,1,1,0,0,0,0,0,0,1,3,0,1,0,2,0,0,0,0,92
2,Finance,4,1000,396,6,0.0018528,500,235,99,1,2,2,0,129176,0,0,0,1,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,0,51.11111111
2,Word,3.9,100000,2375,6,0.003551,3351,1459,521,5,3,2,0,60451,1,0,1,1,0,0,0,0,0,0,3,7,0,2,0,7,0,0,1,1,50
2,Role Playing,3.9,100000,141,6,0.0034985,267,89,41,0,0,2,14,7230,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2,Shopping,3.8,10000,73,3,0.0025696,62,35,13,0,0,2,7,4831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Entertainment,4.6,10000000,3622,12,0.0018753,6569,3732,889,1,3,5,30,2885,1,1,1,1,0,0,0,0,0,0,3,4,0,1,0,5,0,0,0,1,100
2,Business,4.1,5000,52,6,0.0047464,84,16,8,0,0,2,0,135269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Communication,3.9,10000,94,3,0.0034331,125,30,13,4,0,2,0,66646,0,0,1,0,0,0,0,0,0,0,3,1,2,1,0,6,1,2,0,0,50
2,Communication,3.8,5000000,1639,191727,0.0346141,1538,532,151,34,0,8,2,2620,1,1,1,1,0,0,0,0,0,0,12,16,1,2,2,25,0,0,0,2,100
2,Arcade,3.1,5000,533,69,0.0025218,798,395,95,0,9,2,2,525,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Health & Fitness,4.4,10000000,4903,18,0.0022273,9994,5992,1574,1,4,5,0,53825,0,1,1,1,0,0,0,0,0,0,2,3,0,1,0,6,0,0,1,1,50
2,Personalization,4.4,1000,17,3,0.0023725,4,0,0,1,0,2,4,10956,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
2,Racing,4.2,1000,3480,9,0.0028071,4595,1832,621,3,0,2,3,23350,1,1,1,1,0,0,0,0,0,0,5,6,1,1,0,13,0,1,0,2,83.33333333
2,Puzzle,4.4,1000000,1893,15,0.0015518,4041,2671,522,0,5,3,3,17979,0,1,1,1,0,0,0,0,0,0,0,2,0,1,0,1,0,0,0,0,92
2,Entertainment,4.1,50000,275,6,0.0033542,283,30,14,0,1,2,0,134376,0,1,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,92
2,Business,3.4,1000,699,21,0.0039079,1070,652,175,9,1,2,14,835,1,0,1,1,0,0,0,0,0,0,3,7,1,1,2,10,0,0,0,0,51.25
2,Tools,4.5,500000,38,3,0.0001641,30,2,1,0,1,2,1,4309,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Education,4.3,5000,199,3,0.0042866,227,35,15,0,1,2,0,71196,0,0,0,0,0,0,0,0,0,0,3,4,0,1,0,4,0,0,0,0,51.11111111
2,Personalization,4.2,10000000,242,6,0.0021351,392,93,41,0,4,3,1,32195,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Medical,4,5000,218,9,0.0037383,260,44,19,0,0,2,3,31463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,Education,3.4,5000,182,18,0.0024073,411,114,44,1,1,3,5,19023,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,2,0,0,0,0,51.11111111
2,Trivia,4,5000,198,3,0.0027522,170,41,17,0,1,2,6,19850,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,51.11111111
2,Education,4.1,1000,488,6,0.0028637,599,240,102,0,1,2,0,129236,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,51.11111111
